acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Battery Level,Timestamp,Temperature,Step,Calorie,Sleep State,Sleep Hour,Sleep Minute,Action,Device
0.024620949636555353,0.014093684358109378,1.0037381236918856,-0.155073635,0.4216781978452313,-0.351995965,84.99,12/17/2025 15:08,35.52,0,0.22,N1,0,1,Sleep,EMA02
-0.020342719,-0.022353083,0.9756553585869151,0.7477843590928206,-0.625130369,0.788913621,84.97,12/17/2025 15:09,36.13,0,0.61,N1,0,2,Sleep,EMA02
-0.028870688,0.023207988,0.9662936296221978,0.3053171181172105,0.36567136679469336,-0.102395952,84.96,12/17/2025 15:10,35.96,0,0.97,N1,0,3,Sleep,EMA02
0.026385755228779388,-0.029960178,1.0263696181470527,-0.080437222,-0.560879708,-0.893481664,84.95,12/17/2025 15:11,35.61,0,1.52,N1,0,4,Sleep,EMA02
-0.0073647,0.015637164081407758,1.0243964613892365,0.850541761,0.696793492,0.8166085082537828,84.94,12/17/2025 15:12,36.13,0,1.83,N1,0,5,Sleep,EMA02
0.028906992988494196,0.021069949375958442,0.9823383464108317,0.12336790532383546,-0.293280969,0.10514887998929523,84.93,12/17/2025 15:13,35.68,0,2.33,N1,0,6,Sleep,EMA02
-0.001837225,-0.016252542,0.9658406525826748,-0.228791625,-0.937312217,-0.951488936,84.92,12/17/2025 15:14,35.97,0,2.56,N1,0,7,Sleep,EMA02
0.008253975,-0.029142892,1.047751462670622,-0.684931771,-0.431829639,0.980896403,84.9,12/17/2025 15:15,35.88,0,2.78,N2,0,8,Sleep,EMA02
-0.020117619,-0.007035681,1.038107164470806,0.5540018131249171,-0.253629456,-0.525230822,84.89,12/17/2025 15:16,35.87,0,3.21,N2,0,9,Sleep,EMA02
-0.026084181,-0.013838002,0.9523768651933304,0.7391118322380417,0.4694933996817403,-0.484507627,84.87,12/17/2025 15:17,35.97,0,3.46,N1,0,10,Sleep,EMA02
-0.017093101,0.011522470045803992,1.0159966155443112,-0.841875974,0.6196681562834512,-0.841613796,84.85,12/17/2025 15:18,36.14,0,3.76,N1,0,11,Sleep,EMA02
0.026747507279080186,0.015536744315998573,1.0165482629350784,0.22401436670399288,0.059238857,0.388373114,84.83,12/17/2025 15:19,35.63,0,4.22,N1,0,12,Sleep,EMA02
0.01624263,0.003870395,0.9666241042953417,0.501622245,-0.635972724,0.5104285386210905,84.82,12/17/2025 15:20,36.27,0,4.47,N2,0,13,Sleep,EMA02
-0.020717204,0.026510640625508904,1.0446258999404208,-0.566526034,-0.871177847,-0.342454706,84.81,12/17/2025 15:21,35.96,0,4.83,N2,0,14,Sleep,EMA02
-0.000500566,0.012098679965344632,1.0459684322556748,-0.743690644,0.017421521642515536,-0.726368807,84.8,12/17/2025 15:22,36.07,0,5.2,N2,0,15,Sleep,EMA02
0.014895314122251063,-0.010280578,1.0309249690039395,-0.998972054,-0.751920546,0.2126260212900326,84.79,12/17/2025 15:23,35.7,0,5.76,N2,0,16,Sleep,EMA02
0.005846359,-0.005784514,1.0001882092209426,0.080029445,-0.412938928,0.082734052,84.77,12/17/2025 15:24,35.72,0,5.97,N2,0,17,Sleep,EMA02
-0.0215999,0.011087581215795152,0.9929734166809163,-0.042732197,-0.135854925,0.611162411,84.76,12/17/2025 15:25,36.1,0,6.34,N2,0,18,Sleep,EMA02
0.002005478,0.002451203,1.0263411390658967,-0.520013899,0.4690310454324833,0.2729266053405708,84.75,12/17/2025 15:26,35.83,0,6.92,N1,0,19,Sleep,EMA02
0.010975556,0.000165121,0.9644916506727749,0.5106766125912741,0.9874320646207495,0.8119377155266918,84.73,12/17/2025 15:27,36.01,0,7.28,N1,0,20,Sleep,EMA02
